App,Url,Logo,Rating,Recommendation,Reviews,Review Link,Price,Small Business Size,Medium Business Size,Large Business Size,Description
Property Boulevard,https://www.softwareadvice.com/au/property/property-boulevard-profile/,https://www.softwareadvice.com/au/property/property-boulevard-profile/,4.16,None,16,https://www.softwareadvice.com/au/property/property-boulevard-profile/reviews/,3,No,Yes,No,"Property Boulevard is a property management system designed for commercial and residential property portfolios. The system has management and accounting capabilities and provides access to multiple network users. The software offers multi- deployment option and can be deployed either as web-based or a windows application. The platform database covers multiple types of commercial and residential properties including retail, industrial and mixed-use commercial properties as well as homeowners associations and Section 8, single-house and multi-unit residential properties.Property Boulevard fits the needs of large, mid-sized, and small firms, and can scale to adapt to changes in organization size. Users of Property Boulevard can leverage the system to manage their properties, organize rent collection processes, pay bills, and distribute legal notices. Configuration options include a single computer, multiple computers in a local network, and multiple users connected in an online network.Property Boulevard records every transaction, document generation, and correspondence that takes place in the user’s office. Property Boulevard’s transaction records are organized and instantly uploaded such that the transactions appear immediately to all users on the network, allowing instant correction or deletion of mistaken entries. Audit trails are maintained throughout the process to ensure transparent reporting abilities. The software offers different support options to customers, including one-on-one online training, phone support, on-site support, data conversion, and training courses."
eUnify,https://www.softwareadvice.com/au/property/eunify-profile/,https://www.softwareadvice.com/au/property/eunify-profile/,4.47,None,15,https://www.softwareadvice.com/au/property/eunify-profile/reviews/,3,Yes,Yes,Yes,"eUnify is a web-based property management solution, which helps communities and homeowner associations manage residents, work orders and finances. Features include customizable branding, document management, delinquency processing, item tracking, budgeting, bulk mailing and reporting.eUnify comes with an accounting module, which enables users to manage the general ledger, track account receivable/payable, reconcile bank accounts and generate financial statements. Property managers can use the administrative tool, uManage, to monitor any violations, record architectural or residential requests, conduct online voting and schedule meetings. Vendors can use self-service portals to update contact information, submit the status of the assigned tasks and send invoices. It also includes a board portal which allows the members to visualize finances through expense analyzer and track management activities in real-time.eUnify offers mobile applications for iOS and Android. Pricing for the solution is available on request and support is provided via phone and email."
Property Manager Cloud,https://www.softwareadvice.com/au/property/property-manager-cloud-profile/,https://www.softwareadvice.com/au/property/property-manager-cloud-profile/,3.97,None,15,https://www.softwareadvice.com/au/property/property-manager-cloud-profile/reviews/,3,Yes,No,No,"Property Manager Cloud is a cloud-based property management solution designed for landlords and property managers of all sizes. It is suitable for a range of properties including, yet not limited to, apartments, condominiums and affordable housing.Property Manager Cloud gives users the tools to automate daily processes such as applications, maintenance requests, notices to tenants, accounting and more. Property managers can even set up an automatic debit system with their residents for conveniently processing monthly payments. Users can run multiple background checks on prospective tenants to make decisions and finalize allotments.It offers a tenant portal through which tenants can make payments, submit maintenance requests, track deadlines, view payment history and more. Property Manager Cloud also includes an owner portal where users have a real-time view of their properties in multiple locations and report generation capabilities.Property Manager Cloud is priced on a monthly subscription basis and is recommended to small and midsize property management companies."
Lease Accounting,https://www.softwareadvice.com/au/property/lease-accounting-software-profile/,https://www.softwareadvice.com/au/property/lease-accounting-software-profile/,3.86,None,14,https://www.softwareadvice.com/au/property/lease-accounting-software-profile/reviews/,3,Yes,Yes,Yes,"Lease Accounting Software by CoStar helps enterprises analyze and categorize leases to streamline processes related to new lease accounting, rent obligations, percentage calculations, taxes indexing, adjustment and more. The platform includes a data import tool, which enables businesses to migrate data, create amortization schedules and receive notifications for renewals or status updates.Lease Accounting Software comes with a data management functionality, which lets users manage real estate equipment/assets, accounting workflow and audit trail. The solution offers a host of features such as customizable charges, multi-currency conversion, planned rent revision, account receivables, reminders and more. Additionally, the rent calculation module facilitates automated monthly, quarterly or annual breakpoints generation, transactions exclusion and due payments processing.Lease Accounting Software allows managers to create forecast or summary reports, view amortization details and handle restatements of journal entries. Pricing is available on request and support is provided via phone, email and other online measures."
Arthur,https://www.softwareadvice.com/au/property/arthur-profile/,https://www.softwareadvice.com/au/property/arthur-profile/,4.5,None,13,https://www.softwareadvice.com/au/property/arthur-profile/reviews/,2,Yes,Yes,Yes,"Arthur Online is a cloud-based property management solution designed for HMOs, social housing managers, residential block, commercial properties, student housing and single outlets. The solution works on both PC, Mac as well as mobile devices, bringing tenants, contractor agents and property owners onto one connected platform.With Arthur Online, property managers can communicate with their tenants, contractors and other stakeholders to carry out day-to-day tasks. Arthur's dashboard allows users to have a single view of their entire property portfolio and keep track of scheduled activities. Tenants can submit required documentation before moving into the property, pay rent, generate rental statements, send documents, make maintenance requests and communicate with their renter.Arthur Online can also be used by third-party contractors to receive work orders, send job quotes and make payment requests. Property owners can set up different accounts for each property or tenant and manage them separately. Arthur Online also integrates with Xero, Rightmove and Zoopla."
TheHouseMonk,https://www.softwareadvice.com/au/property/thehousemonk-profile/,https://www.softwareadvice.com/au/property/thehousemonk-profile/,4.42,None,12,https://www.softwareadvice.com/au/property/thehousemonk-profile/reviews/,1,Yes,Yes,Yes,"TheHouseMonk is a property management solution that helps customers manage their real estate assets and properties. The platform has integrated modules including data management, lease management, help desk and ticketing, visitor management, accounts, etc.Property owners and tenants can download a mobile application to make payments, raise tickets, participate in discussions, and much more. TheHouseMonk brings property managers, owners, and tenants onto the same platform. Primary features of solution include document storage, gate management, and more."
Vinteum,https://www.softwareadvice.com/au/property/vinteum-profile/,https://www.softwareadvice.com/au/property/vinteum-profile/,4,None,12,https://www.softwareadvice.com/au/property/vinteum-profile/reviews/,4,Yes,Yes,No,"Vinteum Software, the developer behind Neighbors is a web and mobile solution that connects residents and property managers. It comes with a responsive public-facing website where residents, family and prospective buyers can learn about the community and securely login through a branded portal. Residents can view documents, participate in surveys, review announcements and post on the social network through a personal account. It helps administrators communicate with every member, send announcements, track service requests, send SMS and voice automated messages and update the website.Vinteum´s mission is to improve the quality of service provided by property managers and make their work easier. It leverages the power of technology and efficiency, coupled with an incredible design to create meaningful dialogue between residents, boards of directors and property managers. It comes with mobile applications for iOS and Android and supports multiple language preferences including English, Spanish and Portuguese."
Rentmoji,https://www.softwareadvice.com/au/property/rentmoji-profile/,https://www.softwareadvice.com/au/property/rentmoji-profile/,4.91,None,11,https://www.softwareadvice.com/au/property/rentmoji-profile/reviews/,1,Yes,Yes,No,"Rentmoji is a cloud-based property management solution designed for small and midsize businesses. It offers lead management, tenant screening, a tenant portal, online payments, document storage and vacancy tracking functionalities within a suite. Android and iOS apps are available.Rentmoji offers tenant screening through a partnership with Transunion, which allows users to perform background checks on their prospective tenants. The product features a mobile dashboard, which allows users to track vacancies, received and pending rent payments and maintenance requests.Rentmoji offers mobile apps for residents, allowing them to pay their rent from the app itself. Residents can also schedule recurring payments for automatic payments of their monthly rent.Rentmoji also offers maintenance management, so users can create work orders, assign them to vendors and manage payments and invoices. The product also features a vendor portal, which allows users to track the status of assigned maintenance tasks."
RoomRaccoon,https://www.softwareadvice.com/au/property/roomraccoon-profile/,https://www.softwareadvice.com/au/property/roomraccoon-profile/,4.73,None,11,https://www.softwareadvice.com/au/property/roomraccoon-profile/reviews/,2,Yes,Yes,Yes,"RoomRaccoon is a startup that has developed cloud software that leverages Independent hoteliers to run their business with significantly less effort and more profit. The mission: Revolutionising software for all independent hotels around the globe.  A fast-growing amount of currently over 1000 independent properties in more than 30 countries are using RoomRaccoon to their benefit, being served by local teams in NL, PT, ZA, IT and DE.RoomRaccoon was founded in 2017 by hotelier Nadja Buckenberger and tech-entrepreneur Tymen van Dyl in The Netherlands."
InfoSite,https://www.softwareadvice.com/au/property/infosite-profile/,https://www.softwareadvice.com/au/property/infosite-profile/,4.55,None,11,https://www.softwareadvice.com/au/property/infosite-profile/reviews/,3,Yes,Yes,Yes,"InfoSite is a cloud-based platform which assists corporate real estate teams with portfolio management and collaboration. Key features include financial reporting, data management, task tracking and tax assessment.The application’s dashboard enables users to view upcoming deadlines and milestones as per lease conditions and gather information on locations, premises, leases and taxes. It helps finance teams monitor tax accounts for realty, water, business and personal properties, enabling tax payment as per deadlines. Maintenance managers can receive email notifications and fill out property inspection forms on phone, tablet or dekstop. Additionally, supervisors can manage projects and milestones and track tasks assigned to team members or third-parties.InfoSite helps supervisors collect insurance certificates from tenants, track insurable value and assign data management tasks to insurance brokers. Pricing is available on request and support is provided via phone, email and other online measures."
SOFT4RealEstate,https://www.softwareadvice.com/au/property/soft4-profile/,https://www.softwareadvice.com/au/property/soft4-profile/,4.5,None,11,https://www.softwareadvice.com/au/property/soft4-profile/reviews/,3,Yes,Yes,No,"SOFT4RealEstate from Softera Baltic is a property management system designed to help commercial operators manage their tenants. The solution is built on a Microsoft Dynamics NAV platform and is operable in both cloud-based and on-premise deployment models.Within SOFT4RealEstate, users gain access to several different features to help manage various aspects of each property they oversee. The program keeps track of tenant information including turnover, contract violations, and paid fees, all in one place alongside a prospect database. The system also automatically calculates penalties for overdue payments, pricing according to the area of each property, and can separate rent pricing based on the number of buildings, contract details, and other rented premises.In addition, SOFT4RealEstate is a standardized solution for all countries and includes multi-language and multi-currency features to help property managers of business centers, retail locations, and large shopping centers worldwide."
CICTotal Manager,https://www.softwareadvice.com/au/property/cic-profile/,https://www.softwareadvice.com/au/property/cic-profile/,3.89,None,9,https://www.softwareadvice.com/au/property/cic-profile/#reviews,1,Yes,Yes,No,"CICTotal Manager is a property management solution that offers management tools for rental properties including multi-family housing, commercial buildings, affordable housing and portfolios with a mixture of clients. This cloud-based system is accessible from anywhere, allowing users to manage properties in the office or on the go and see updated statistics on their business in real time.CICTotal Manager is SSL encrypted to ensure data is as secure as possible. Residents’ information is kept private when applying online or using the tenant portal. Residents are automatically billed based on customized rules, and payment and late fees are collected online. The property management tool allows users to schedule and track maintenance tasks and communicate directly with residents through the tenant portal.Tenant screening is made possible through the built-in screening tool. Through the ‘apply online’ feature, users can check applicants’ credit, credit score, criminal history and eviction record. The system includes video tutorials, monthly product updates and support from the tech team."
PropertyBoss,https://www.softwareadvice.com/au/property/propertyboss-solutions-profile/,https://www.softwareadvice.com/au/property/propertyboss-solutions-profile/,3.89,None,9,https://www.softwareadvice.com/au/property/propertyboss-solutions-profile/#reviews,1,No,Yes,Yes,"PropertyBoss is a property management solution for mid-sized to large property managers. The software caters to managers of affordable housing units, apartment complexes, manufactured housing, military housing, residential, self-storage, senior housing, university and student housing and more. PropertyBoss is offered as a web-based or on-premise solution, and is Mac and PC compatible.Features offered within PropertyBoss include property accounting, tenant and lease tracking, budgeting and forecasting and building maintenance. Accounting features include general ledger, accounts payable, gain and loss analysis and more. Tenant and lease tracking features include online payments, vacancy planning, resident screening, unit features and more. Users can utilize the building maintenance features including work orders, inventory and task tracking, schedule prioritizing and more to manage their property's maintenance needs.PropertyBoss is an Intuit (Quickbooks) gold developer, and has served the property management industry for over 15 years."
Leasecake,https://www.softwareadvice.com/au/property/leasecake-profile/,https://www.softwareadvice.com/au/property/leasecake-profile/,4.88,None,8,https://www.softwareadvice.com/au/property/leasecake-profile/#reviews,3,Yes,Yes,Yes,"Leasecake is a cloud-based property management solution that helps real estate owners and tenants manage lease agreements and payments. The centralized platform enables landlords to receive automated alerts/notifications about lease expiration, contract renewal and due dates of rent, improving customer experience with the brand.Leasecake allows tenants to make electronic payments, manage critical files such as contracts or agreements, and access information on rent increase. It provides users with an administrative dashboard to view lease information based on companies/units, and save notes for future reference. Additionally, it offers mobile applications for iOS devices, which enables users to view rent history and share documents even from remote locations.Pricing is available on request and support is extended via live chat, email and other online measures."
EasySpace,https://www.softwareadvice.com/au/property/easyspace-profile/,https://www.softwareadvice.com/au/property/easyspace-profile/,4.75,None,8,https://www.softwareadvice.com/au/property/easyspace-profile/#reviews,2,Yes,Yes,No,"EasySpace is a fully integrated cloud-based property management software. This system has an intuitive platform including an intelligent all in one CRM and a custom dashboard which includes solutions such as online booking, payment processing, an interactive unit map, and advanced reports.EasySpace is extremely user friendly and can be mastered by anyone in very little time. The self-storage system can help increase efficiency whether you have one facility or fifty. Discover how simple managing a self-storage business can be with the help of the right tool."
CondoCommunities.com,https://www.softwareadvice.com/au/property/condocommunities-profile/,https://www.softwareadvice.com/au/property/condocommunities-profile/,4.38,None,8,https://www.softwareadvice.com/au/property/condocommunities-profile/#reviews,1,Yes,Yes,Yes,"CondoCommunities.com is a property management solution that provides resident and management portals for the condominium management industry. The solution helps homeowners associations (HOAs) maintain communication with residents by sending notices, announcements and newsletters through emails and the resident portal.CondoCommunities.com enables users to upload building documents, by-laws and board minutes for residents. Residents can submit service requests online, and the service request module tracks request records and communication until requests are resolved.Residents can distribute information about community events through the resident portal. The software helps users to manage amenity bookings and payments online. Users can conduct resident surveys, and residents can submit suggestions for property managers through the resident portal. CondoCommunities.com also provides an incident reporting module.Pricing is per building per month. Support is offered over the phone and via email."
ValencePM,https://www.softwareadvice.com/au/property/valence-profile/,https://www.softwareadvice.com/au/property/valence-profile/,5,None,7,https://www.softwareadvice.com/au/property/valence-profile/#reviews,1,No,Yes,Yes,"ValencePM is cloud-based property management solution for midsize to large apartment and multi-family housing communities. It features an integrated suite of applications that aid in the day to day functions of a property management office such as tenant and lease tracking, property accounting, building maintenance and more.ValencePM offers a lease management tool that records guest traffic and manages prospects, tracks resident charges and payments, and auto-generates lease renewals. ValencePM’s resident portal accepts online applications and payments, and also provides auto-pay options to residents.ValencePics, an iPhone / Android app for resident move-outs, allows residents to conduct their inspection and submit images directly to the property management company using their mobile device. The accounting suite features a fully integrated AP/GL accounting system that can support multiple entities and bank accounts. ValencePM’s maintenance management application allows users to automate the process, create and track work orders, and schedule work across the maintenance staff."
Rentables,https://www.softwareadvice.com/au/property/rentables-profile/,https://www.softwareadvice.com/au/property/rentables-profile/,4.71,None,7,https://www.softwareadvice.com/au/property/rentables-profile/#reviews,1,Yes,Yes,No,"Rentables is a cloud-based property management solution that helps users track accounting procedures involved in managing a property including accounting involving tenants, owners and more. The system features work order tracking and management so that property managers can stay on top of work orders and maintenance requests.Rentables allows property managers to view all their current leases and sort them by those that are expiring soon. For Accounts Payable, Rentable allows payments to be made via ACH, as well as payment by cheque.Rentables provides owner and tenant portals to allow users to make payments online and access information about their property. Tenants can view the status of their current lease and pay rent and other charges online. The solution provides a CRM module that organizes information from phone calls, emails and other conversations.The system is a fit for small and mid-size properties. Pricing is per month."
Greenhouse PM,https://www.softwareadvice.com/au/property/greenhouse-pm-profile/,https://www.softwareadvice.com/au/property/greenhouse-pm-profile/,4.57,None,7,https://www.softwareadvice.com/au/property/greenhouse-pm-profile/#reviews,1,Yes,No,No,"Greenhouse Property Management is a cloud-based property management solution for residential and single-family property managers and landlords managing less than fifty rental units. The solution provides users a list of active leases, expenses and revenue by the unit. Unit profiles allow users to construct listings for available units, generate work orders, document income or expenses and sync documents and images by the unit.Greenhouse Property Management is customizable to users’ specific needs, with the ability to customize vendor types, accounts, address types and unit types. Each user profile can be set up with appropriate permission levels at the back-end and can notify the user of lease expirations, listed unit inquiries and work orders they have been assigned. The solution automatically notifies the users when certain events take place such as when a new work order has been assigned or a lease is within 60 days of expiring.Pricing is per unit per month. Support is provided over an email and phone."
Zego,https://www.softwareadvice.com/au/property/zego-profile/,https://www.softwareadvice.com/au/property/zego-profile/,4.14,None,7,https://www.softwareadvice.com/au/property/zego-profile/#reviews,3,No,Yes,Yes,"Zego, by PayLease, is a cloud-based property management solution that allows property owners and developers and community managers to modernize outdated property processes into efficient workflows with integrated modules to help manage every touchpoint of the resident lifecycle. Zego offers modules for community engagement, integrated smart devices, rent payment processing, and utilities management.With its modern and simple design, residents and staff members are able to complete designated tasks in a short amount of time. Community managers are able to engage their community of residents by lopping them in any community event or property updates using an integrated social hub. For residential living, Property managers are able to give residents the tools to manage home-integrated smart devices with just the touch of screen. Using a mobile app, residents are able to manage aspects of rental living such as lighting, temperature and the door lock with additional or existing smart devices.Zego also comes with a payment portal that allows residents to pay any fee from any device. With this module, Staff members can increase their productivity and reduce the time spent collecting and processing paper payment and focus on tasks at hand. Residents are also able to make payments towards their utilities and view a breakdown of utility expenses and usage. Zego empowers residents to make smart utility decisions and unburdens staff members from time consuming account processing and utilities management from vacancy units.Zego is also able to integrate with other third-party property management and accounting solutions."
Smart Property Systems,https://www.softwareadvice.com/au/property/smart-property-systems-profile/,https://www.softwareadvice.com/au/property/smart-property-systems-profile/,5,None,6,https://www.softwareadvice.com/au/property/smart-property-systems-profile/#reviews,1,No,Yes,Yes,"Smart Property Systems is a cloud-based property management system designed for landlords, real estate investors, property management companies and managers of student or employee housing. It offers accrual accounting, tenant and lease tracking and maintenance functionality.The solution includes features to manage rent collection and provides an online tenant portal in which tenants can set up recurring automatic payments with a credit card. This information is also entered into the solution’s accounting ledger. It also enables property managers to create webflyers to advertise vacancies.On the rent roll page, property managers can view each lease along with their payment status for each month and can search by property or tenant. Users can also create custom notices, including late rent notices that can be sent automatically to the tenant and recorded on their profile in the system.Services are offered on per unit per agent basis. Support is provided through an online portal."
Infor Property Management,https://www.softwareadvice.com/au/property/infor-pm-fm-profile/,https://www.softwareadvice.com/au/property/infor-pm-fm-profile/,3.92,None,6,https://www.softwareadvice.com/au/property/infor-pm-fm-profile/#reviews,3,Yes,Yes,Yes,"Infor Property Management helps users manage residential, commercial, Student housing, affordable and senior care/ assisted living properties. The solution delivers financial, operational and business intelligence capabilities specifically designed for property owners, property managers and investors. Users have the option to manage data as an on-premise solution or in the cloud, and it’s designed to provide access via any device.The Infor Property Management integrated suite includes functionality to manage property accounting, investment and development management, tenant and lease information, and building maintenance over time. The accounting module delivers analytics and visibility into all aspects of general ledger, AP and AR, budgeting, forecasting, gain/loss analysis, and payroll out-of-the-box.Using the tenant and lease management module, users can target specific tenants as well as ensure lead tracking, insurance tracking, online payments and document management. Other features include tracking building maintenance, work orders, inventory tracking, purchase orders and mobile support."
ARGUS Enterprise,https://www.softwareadvice.com/au/property/argus-enterprise-profile/,https://www.softwareadvice.com/au/property/argus-enterprise-profile/,4.2,None,5,https://www.softwareadvice.com/au/property/argus-enterprise-profile/#reviews,3,Yes,Yes,Yes,"Argus Enterprise is an asset and portfolio management software that helps manage property valuations, investments, portfolios and budgeting. Primarily designed for professionals in the real estate industry, its cloud and on-premise solutions help increase productivity and drive business efficiencies.Key features of Argus Enterprise include detailed cash flows, valuation reporting, rent schedules, rent roll summary views, budgeting, forecasting, transactions analysis, risk assessment and portfolio management. It comes with portfolio level dashboards, which provide insights and a 360° view of risks and returns.Argus Enterprise allows users to streamline workflows and deliverability with add-in excel functionality (XL4ADW). It provides tools to perform quick actions such as import property date from Coastal Vector List (CVL) files, customize role-based views, drill down and directly edit inputs and perform a quick view on tenant categories.Argus Enterprise provides customer support through phone, email and documentation."
Yardi Store Enterprise,https://www.softwareadvice.com/au/property/centershift-store-enterprise-profile/,https://www.softwareadvice.com/au/property/centershift-store-enterprise-profile/,4,None,5,https://www.softwareadvice.com/au/property/centershift-store-enterprise-profile/#reviews,2,No,No,Yes,"Yardi Store Enterprise offers a cloud-based self-storage solution for large, multi-facility ownerships, management companies and REIT’s. The solution provides multi-site reports to compare revenue for all the sites in an organization or region. It also includes organization and site administration tools that help manage revenue data. It offers a proprietary tool for calculating and implementing automated rate changes based on occupancy statistics and other customizable indicators.Yardi Store Enterprise provides an open architecture that allows companies to integrate the solution with partners such as call centers, lead generators, credit card processors, tenant insurance providers, website aggregators and e-commerce websites professionals. Users can add solutions for online property marketing, payment processing and procurement.Yardi Store Enterprise data is backed-up in the Yardi data centers. It caters to users from small businesses and can support facilities with a few thousand units. Support is offered over a phone and e-mail."
BuildingLink,https://www.softwareadvice.com/au/property/buildinglink-profile/,https://www.softwareadvice.com/au/property/buildinglink-profile/,3.6,None,5,https://www.softwareadvice.com/au/property/buildinglink-profile/#reviews,1,Yes,Yes,Yes,"BuildingLink is a cloud-based property management solution for small, midsize and large businesses. Primary features include resident management, package management, maintenance management, work orders, visitor management, asset and inventory tracking.Other features include key tracking, parking management, management analytics, document library and amenity reservations. It allows users to manage operations, track tickets and track inventory levels. It provides real-time alerts on package pickups and deliveries, maintains visitor logs and allows residents to register their guests and set up their access permissions.BuildingLink offers integration with Amazon Alexa, OneSite, Jenark, Yardi, Caliber, IBS, Timberline, Qube, RentPayment, PayLease, ClickPay and others.It is compatible with Windows, Mac and Linux operating systems. Mobile applications for Android and iOS devices are offered. Support is offered via email and over the phone. Other help options include FAQs and help database."
Schedule My Rent,https://www.softwareadvice.com/au/property/schedule-my-rent-profile/,https://www.softwareadvice.com/au/property/schedule-my-rent-profile/,5,None,4,https://www.softwareadvice.com/au/property/schedule-my-rent-profile/#reviews,3,Yes,Yes,Yes,"Schedule My Rent is a rental management software designed to help landlords collect rent, manage expenses and streamline screening processes for tenants. Landlords can invite applicants to fill online rental applications with details such as personal information, employment history, income, references, emergency contacts and more.Using Schedule My Rent's self-service portal, tenants can view due payments, automatically pay rent on scheduled dates and access lease details from a centralized platform. Landlords can conduct background checks of tenants' eviction, sex offense or criminal records, generate credit reports and save or download them for future reference. Additionally, property managers can collect rent on a weekly, bi-weekly or monthly basis and process payments via credit/debit cards or bank transfers.Schedule My Rent helps landlords receive daily summaries of payment changes and send authorization receipts to tenants. Pricing is based on the number of payments and support is extended via phone."
Spacebase,https://www.softwareadvice.com/au/property/spacebase-lease-management-profile/,https://www.softwareadvice.com/au/property/spacebase-lease-management-profile/,5,None,4,https://www.softwareadvice.com/au/property/spacebase-lease-management-profile/#reviews,5,Yes,Yes,Yes,"Spacebase is a cloud-based lease management solution that assists real estate and hospitality firms with expense, portfolio and capacity management. Its key features include activity tracking, citation linking, data export and automated notifications.Administrators can use the solution to group employees into teams, add users and provide role-based permissions across multiple regions. The application’s dashboard module allows managers to track payment schedules and collect lease notes or updates from team members. Additionally, its smartsearch feature helps users access section-specific links and search leases based on parameters such as dates, contacts and clauses.Spacebase enables supervisors to track operating expenses, measure and compile capital expenditures and conduct comparisons across various portfolios. The solution is available on a monthly subscription and support is provided via phone and email."
RISSOFT,https://www.softwareadvice.com/au/property/rissoft-profile/,https://www.softwareadvice.com/au/property/rissoft-profile/,4.25,None,4,https://www.softwareadvice.com/au/property/rissoft-profile/#reviews,3,Yes,Yes,No,"RISSOFT by Realty Information Systems is a property management solution that caters to property managers who manage residential and commercial real estate, condominiums, cooperatives, RV parks, parking facilities and more. The solution can either be deployed on-premise or hosted in the cloud.RISSOFT's management menu helps users to manage legal cases, work orders, vacancies, rent arrears, calendar tasks and tenant applications from a single screen. The solution also allows users to send rent bills, letters and energy consumption reports to their tenants.RISSOFT helps users keep track of their letters, leases, invoices, floor plans and pictures and features separate letter/document databases for tenants, apartments, properties, companies and vendors. Additionally, the solution enables users to create custom reports and export them in .pdf, .xls, .csv or .html formats for electronic transfer by email or over the internet.Services are offered as a yearly license that includes support via phone, email and an online support portal."
ADDA ERP,https://www.softwareadvice.com/au/property/adda-erp-profile/,https://www.softwareadvice.com/au/property/adda-erp-profile/,5,None,3,https://www.softwareadvice.com/au/property/adda-erp-profile/#reviews,2,Yes,No,No,"ADDA is an Apartment or Housing Society Management Software used by 3500+ Apartment Communities Globally. It helps the Apartment Association MC Members manage the society accounting, billing, expense tracking, resolve helpdesk tickets, communicate internally with the residents and more.ADDA Software makes it fun and easy. As a resident, you can pay maintenance bills online, network internally with the society residents, organize events and more. Powering the ADDA App are 2 comprehensive products, ADDA ERP and ADDA Gatekeeper. Together they make One Integrated Platform to manage all Community Management and Accounting needs of a Community. It is available in both App and Web Versions. Be it a community with 50+ apartment units or 5000+ apartment units, this resident-friendly app fits both the needs."
ADDA ERP & ADDA GateKeeper,https://www.softwareadvice.com/au/property/adda-profile/,https://www.softwareadvice.com/au/property/adda-profile/,5,None,3,https://www.softwareadvice.com/au/property/adda-profile/#reviews,3,No,No,Yes,"ADDA is an Apartment or Housing Society Management Software used by 3500+ Apartment Communities Globally. It helps the Apartment Association MC Members manage the society accounting, billing, expense tracking, resolve helpdesk tickets, communicate internally with the residents and more. Apartment Society Management is MC's volunteering job yet ends up thankless. ADDA Software makes it fun and easy. As a resident, you can pay maintenance bills online, network internally with the society residents, organize events and more. Powering the ADDA App are 2 comprehensive products, ADDA ERP and ADDA Gatekeeper. Together they make One Integrated Platform to manage all Community Management and Accounting needs of a Community. It is available in both App and Web Versions. Be it a community with 50+ apartment units or 5000+ apartment units, this resident-friendly app fits both the needs."
ComVibe,https://www.softwareadvice.com/au/property/comvibe-profile/,https://www.softwareadvice.com/au/property/comvibe-profile/,5,None,3,https://www.softwareadvice.com/au/property/comvibe-profile/#reviews,3,No,No,Yes,"ComVibe is a cloud-based property management solution that helps businesses to manage their maintenance routines and interactions with the customers. The solution helps property managers manage maintenance costs, administrative overhead and customer satisfaction.ComVibe can support multiple property types that include apartments, residential, condos, student housing and more. The solution incorporates real-time reviews into the maintenance process that helps managers process service delivery routines. ComVibe's property management tools provide users a custom user interface that is accessible from multiple devices such as iPads, tablets and touchscreen computers.Staff members can send email and text message notifications to their customers regarding service updates. Users can also archive records of communication between staff members and customers. Mobile applications for iOS, Android and Windows devices are also provided by the solution that helps in remote accessibility.Services are offered on a monthly subscription basis that includes support via phone and email."
Lodgical Solution,https://www.softwareadvice.com/au/property/lodgical-solution-profile/,https://www.softwareadvice.com/au/property/lodgical-solution-profile/,5,None,3,https://www.softwareadvice.com/au/property/lodgical-solution-profile/#reviews,3,Yes,Yes,Yes,"Lodgical Solution is a property management solution for hospitality properties that can be deployed in the cloud or on-premise and can be used by businesses of any size. Key features include reservation management, guest profiles, yield-managed rates, guest communication via email and text message, reporting, point of sale, housekeeping and maintenance management and online booking and payment processing.Lodgical Solution is built specifically for hospitality property management but can be used as a management solution for hotels, vacation rental homes, campgrounds, marinas, hotel condominiums and hospitality houses. Guest profiles can be customized and updated with information such as special accommodations, contact information and negotiated rates. The home screen provides a list of the guests staying, arriving and departing from the hotel. Reservation management system keeps details of guests’ past reservations with the hotel, contact information and payment details.Pricing for Lodgical Solution depends on the number of rooms in a property. Support is offered through phone and email."
Real Home Finders,https://www.softwareadvice.com/au/property/real-home-finders-profile/,https://www.softwareadvice.com/au/property/real-home-finders-profile/,5,None,3,https://www.softwareadvice.com/au/property/real-home-finders-profile/#reviews,1,Yes,Yes,Yes,"Real Home Finder is a cloud-based and on-premise property management and customer relationship management solution for real estate industry. Primary features include accounting, tenant and lease tracking, budgeting and forecasting and maintenance.It offers a dashboard that provides access to new properties, pending reviews and agreements. Users can navigate to various features such as owner, customer and agent listings using Google Maps.Real Home Finders includes lead tracking functionality that allows automatic assignment to an agent as soon as a lead is generated. Accounting features allow users to track accounts receivable, recurring charges, transaction history and payroll. The system also includes maintenance management functionality for purchase orders and bid management.It is compatible with Windows, Mac and Linux operating systems. Mobile support is available for Android and iOS smartphones."
ZenTreasury,https://www.softwareadvice.com/au/property/zentreasury-profile/,https://www.softwareadvice.com/au/property/zentreasury-profile/,5,None,3,https://www.softwareadvice.com/au/property/zentreasury-profile/#reviews,3,Yes,Yes,Yes,"ZenTreasury is a cloud-based accounting and portfolio management solution, which helps non-financial and accounting businesses manage finances, vouchers, foreign exchange operations and more. The platform enables users to automate lease operations, validate IFRS 16 calculations and track prices or term changes.ZenTreasury comes with white-label capabilities, which allows organizations to personalize the interface using custom logo, domain and theme. It offers a host of features such as searchable lease database, currency rate management, notifications, media attachments, accounting entries management and more. Additionally, professionals can handle a variety of debt interest rate products including bonds, money market/intercompany loans and commercial paper deposits through fixed or floating interest rate and amortization schedules.ZenTreasury includes a trade finance module, which lets enterprises handle corporate/bank guarantees and create custom workflows using a drag-and-drop builder and dashboard. Pricing is available on request and support is extended via phone, email and other online measures."
